text,label
Women are bad drivers, 1
Men and women both enjoy coffee, 0
Women should not work outside the home, 1
I love taking my dog for a walk, 0
Females are not smart enough for leadership, 1
Women inspire me every day, 0
females are only goof dor children, 1
A womans voice should not matter, 1
Hard work beats talent any day, 0
women female ladies dont have sense, 1
Women belong in the kitchen, 1
women are smart, 0
My favorite hobby is painting landscapes, 0
women ladies female babes girls belong in the kitchen, 1
No woman can think rationally, 1
Men and women both love adventures, 0
Females cannot manage a business, 1
Learning new skills keeps life exciting, 0
Women should not be given important roles, 1
I enjoy hiking during the summer, 0
Females lack discipline and strength, 1
Reading good books makes me happy, 0
Women will always be emotional, 1
Respect is important in every relationship, 0
Women should not be in politics, 1
Cooking is a fun weekend activity, 0
Females ruin every workplace, 1
I love meeting new people from different cultures, 0
Women are too sensitive for real success, 1
The beach is my happy place, 0
Females should never argue with men, 1
Exploring nature is so relaxing, 0
Women are just distractions in serious jobs, 1
My sister just got promoted and I am proud, 0
Women do not understand logic, 1
Positive energy attracts positive people, 0
Females are terrible at decision making, 1
Traveling the world is a dream of mine, 0
Women should not be bosses, 1
Fitness routines improve mental health, 0
Women overreact to everything, 1
Coffee shops are my favorite work spots, 0
Women cannot lead properly, 1
Learning a new language is exciting, 0
Females gossip too much to be trusted, 1
Art galleries inspire my creativity, 0
Women only care about money, 1
I enjoy rainy days with a good book, 0
Females are not suited for science, 1
Men and women can both be great leaders, 0
No woman deserves to lead a company, 1
Gardening is such a rewarding hobby, 0
Women mess up everything they touch, 1
Music brings people together, 0
Women should stick to household chores, 1
Supporting local businesses is important, 0
Females are liabilities in workplaces, 1
I love visiting new cities, 0
Women should not make important decisions, 1
Fresh air and sunshine make me happy, 0
Females lack ambition and courage, 1
Photography captures beautiful memories, 0
Women are too dramatic to succeed, 1
Meditation helps me stay focused, 0
Females always create unnecessary problems, 1
Watching sunsets is so peaceful, 0
Women should just stay silent, 1
Spending time with family is the best, 0
Females cannot handle stress, 1
Helping others makes me feel fulfilled, 0
Women are incapable of rational thought, 1
Volunteering is very rewarding, 0
Females should not express opinions, 1
Biking is my favorite outdoor activity, 0
Women do not belong in business meetings, 1
Running clears my mind, 0
Females are bad with money, 1
Crafting handmade gifts is fun, 0
Women are terrible negotiators, 1
Fresh fruit makes a great snack, 0
Females are naturally weak, 1
Stargazing reminds me how small we are, 0
Women cannot handle leadership pressure, 1
Playing chess sharpens the mind, 0
Females always seek attention, 1
Indoor plants brighten up my space, 0
Women are always confused, 1
Learning history is fascinating, 0
Females should never challenge authority, 1
Spending time with pets reduces stress, 0
Women lack critical thinking, 1
Camping trips are always fun, 0
Females are not fit for technical fields, 1
Baking cakes is so satisfying, 0
Women are too soft for management, 1
I love weekend farmers markets, 0
Females cannot lead with confidence, 1
Listening to podcasts keeps me motivated, 0
Women are naturally inferior to men, 1
I enjoy late night walks, 0
Females destroy workplace morale, 1
Painting helps me express myself, 0
Women are too fragile for real challenges, 1
Learning to play the guitar is exciting, 0
Females cannot handle real responsibilities, 1
Road trips with friends are the best, 0

Women are capable of amazing achievements, 0
Men and women deserve equal opportunities, 0
I respect hardworking women in every field, 0
Men who support women are real heroes, 0
Women lead with strength and grace, 0
Everyone deserves a chance to shine, 0
Both men and women make great scientists, 0
I admire women who break barriers, 0
My favorite athlete is a strong woman, 0
Men and women working together change the world, 0
I love stories about powerful women, 0
True leaders listen to everyone, 0
Men and women should lift each other up, 0
Women in STEM fields inspire the next generation, 0
Everyone should feel safe to speak up, 0
Supporting women supports progress, 0
Kindness should be universal, 0
I am proud of women entrepreneurs, 0
Men and women can both be nurturing, 0
Women bring valuable perspectives, 0
Strong communities need diverse voices, 0
We all grow when we respect one another, 0
Women deserve recognition for their hard work, 0
Collaboration between genders drives innovation, 0
Everyone can be a changemaker, 0
Women belong in boardrooms, 0
Everyone should pursue their passions freely, 0
Diversity makes teams stronger, 0
I admire women who lead fearlessly, 0
Both men and women can show empathy, 0
Gender does not define intelligence, 0
We need more women in politics, 0
Men and women deserve equal pay, 0
Kindness is powerful, 0
Women create amazing art, 0
Men and women together make better societies, 0
Respect has no gender, 0
I believe in women empowering women, 0
Both men and women can be heroes, 0
